"Id_Loja","Departamento","Categoria","SubCategoria","Marca","Unidade","Volume","codigo_barra","Nome","dt_cadastro","dt_ultima_alteracao","vlr_produto","vlr_promocao","qtd_estoque_atual","qtd_estoque_minimo","Descricao","ativo","plu","vlr_compra","validade_proxima","qtd_atacado","image_url"
"201",PADARIA,TORTAS/DOCES,DOCES,"",KG,"1",1144,BRIGAD KG,"03/08/2020","03/08/2020",96.59,0.00,100.0000,10.0000,BRIGADEIRO KG REF 8699,S,"11444",23.97,N,0,http://db.buzzer.com.br/middleware/imagens/1144.png
"201",FLV,CEREAIS A GRANEL,DIVERSOS,"",KG,"1",1233,GOMA FESTA DB KG,"03/08/2020","03/08/2020",46.41,0.00,100.0000,10.0000,GOMA FESTA DUBOM KG,S,"12335",0.00,N,0,http://db.buzzer.com.br/middleware/imagens/1233.png
"201",ROTISSERIE/SALGADOS,FRIOS PECA/PEDACOS,MORTADELA,"",KG,"1",1410,MORT FGO PERD KG,"03/08/2020","03/08/2020",12.18,0.00,100.0000,10.0000,MORT FGO PERD KG,S,"14109",2.85,N,0,http://db.buzzer.com.br/middleware/imagens/1410.png
"201",ROTISSERIE/SALGADOS,QUEIJOS FINOS/ESPECIAIS,BRIE,"",KG,"1",1543,QJ KROON EDAM KG,"03/08/2020","03/08/2020",137.99,0.00,100.0000,10.0000,QJ KROON EDAM KG,S,"15431",0.00,N,0,http://db.buzzer.com.br/middleware/imagens/1543.png
"201",FLV,CEREAIS A GRANEL,DIVERSOS,"",KG,"1",1565,MARSH TWISTER DB KG,"03/08/2020","03/08/2020",61.88,0.00,100.0000,10.0000,MARSHMALLOW TWISTER COLOR DUBOM KG,S,"15652",0.00,N,0,http://db.buzzer.com.br/middleware/imagens/1565.png
"201",FLV,CEREAIS A GRANEL,DIVERSOS,"",KG,"1",1566,CHOC PO 32 DB KG,"03/08/2020","03/08/2020",35.58,0.00,100.0000,10.0000,CHOC PO 32 DUBOM KG,S,"15660",0.00,N,0,http://db.buzzer.com.br/middleware/imagens/1566.png
"201",FLV,FOLHAGENS/AGRANEL,DIVERSOS,"",KG,"1",1687,ALMEIRAO KG,"03/08/2020","03/08/2020",37.48,0.00,100.0000,10.0000,ALMEIRAO KG                         L15,S,"16870",12.50,N,0,http://db.buzzer.com.br/middleware/imagens/1687.png
"201",FLV,FRUTAS IMPORTADAS/AGRANEL,PERAS,"",KG,"1",1762,PERA RED BARTELETI KG,"03/08/2020","03/08/2020",29.43,0.00,100.0000,10.0000,PERA RED BARTELETI KG                L15,S,"17620",6.95,N,0,http://db.buzzer.com.br/middleware/imagens/1762.png
"201",FLV,CEREAIS A GRANEL,DIVERSOS,"",KG,"1",1775,PAST CHOC DB KG,"03/08/2020","03/08/2020",61.11,0.00,100.0000,10.0000,PASTILHA CHOC COLOR DUBOM KG,S,"17752",0.00,N,0,http://db.buzzer.com.br/middleware/imagens/1775.png
"201",FLV,CEREAIS A GRANEL,DIVERSOS,"",KG,"1",1888,AMEND TORR DB KG,"03/08/2020","03/08/2020",37.90,0.00,100.0000,10.0000,AMEND TORRADO SALG DUBOM KG,S,"18880",0.00,N,0,http://db.buzzer.com.br/middleware/imagens/1888.png
"201",FLV,CEREAIS A GRANEL,DIVERSOS,"",KG,"1",1889,MARSH CORAC DB KG,"03/08/2020","03/08/2020",61.88,0.00,100.0000,10.0000,MARSHMALLOW CORACAO COLOR DUBOM KG,S,"18899",0.00,N,0,http://db.buzzer.com.br/middleware/imagens/1889.png
"201",ACOUGUE,CORTES MATURADOS AVACUO,CORTES MATURADOS AVACUO,"",KG,"1",2135,CARNE BOV 1953 COR ALC,"03/08/2020","03/08/2020",54.15,0.00,100.0000,10.0000,CARNE BOV FRIBOI 1953 COR ALC BOMBOM KG,S,"21350",0.00,N,0,http://db.buzzer.com.br/middleware/imagens/2135.png
"201",ACOUGUE,CORTES MATURADOS AVACUO,CORTES MATURADOS AVACUO,"",KG,"1",2158,CARNE BOV 1953 PATINHO,"03/08/2020","03/08/2020",38.74,0.00,100.0000,10.0000,CARNE BOV FRIBOI 1953 PATINHO RESF KG,S,"21580",0.00,N,0,http://db.buzzer.com.br/middleware/imagens/2158.png
"201",FRIOS/LATIC/CONGELADOS,QUEIJOS POPULARES,MINAS FRESCAL,"",KG,"1",2165,QJ PADRAO NAT VACA KG,"03/08/2020","03/08/2020",52.25,0.00,100.0000,1.0000,QJ MINAS PADRAO MINI NATURAL VACA KG,S,"21652",38.05,N,0,http://db.buzzer.com.br/middleware/imagens/2165.png
"201",FLV,CEREAIS A GRANEL,DIVERSOS,"",KG,"1",2172,GRANOLA PASSAS/MEL KG,"03/08/2020","03/08/2020",39.32,0.00,100.0000,10.0000,GRANOLA PASSAS/MEL DUBOM KG,S,"21725",0.00,N,0,http://db.buzzer.com.br/middleware/imagens/2172.png
"201",ACOUGUE,CORTES MATURADOS AVACUO,CORTES MATURADOS AVACUO,"",KG,"1",2189,COST P/GR BOV HERE KG,"03/08/2020","03/08/2020",57.83,0.00,100.0000,10.0000,COSTELA P/GRELHA BOV HEREFORD KG,S,"21890",0.00,N,0,http://db.buzzer.com.br/middleware/imagens/2189.png
"201",ROTISSERIE/SALGADOS,QUEIJOS POPULARES PECA/PEDACO,COALHO,"",KG,"1",2301,QJ COAL BUFALA PEC KG,"03/08/2020","03/08/2020",48.63,0.00,100.0000,10.0000,QJ COALHO BUFALA AUTALAC PEC KG,S,"23019",31.00,N,0,http://db.buzzer.com.br/middleware/imagens/2301.png
"201",ACOUGUE,TRASEIRO S/OSSO PECA,TRASEIRO PECA,"",KG,"1",2714,CARNE BOV PIC B KG,"03/08/2020","03/08/2020",40.70,0.00,100.0000,10.0000,CARNE BOV PICANHA B RESF KG,S,"27146",0.00,N,0,http://db.buzzer.com.br/middleware/imagens/2714.png
